title,description,publishedAt,source
Australia's Fortescue shrugs off disruptions to post higher quarterly iron ore shipments,,2025-04-28T23:28:02Z,Yahoo Entertainment
AYER Holdings Berhad Full Year 2024 Earnings: EPS: RM0.49 (vs RM0.58 in FY 2023),,2025-04-28T23:27:23Z,Yahoo Entertainment
"Republicans propose massive overhaul of student loans, Pell Grants",,2025-04-28T23:24:24Z,Yahoo Entertainment
Activist pastor who has criticized Trump arrested while praying inside Capitol,,2025-04-28T23:23:46Z,Yahoo Entertainment
Stephen Engle Takes on the EV Battery Giant CATL on the Tracks,,2025-04-28T23:23:45Z,Yahoo Entertainment
Brandon Nimmo ties Mets record with 9 RBIs in 19-5 rout of Nationals,"Brandon Nimmo hit a grand slam and matched a franchise record with nine RBIs, helping the New York Mets pound Washington Nationals 19-5 on Monday. Nimmo also hit a three-run drive in his seventh career multihomer game. New York earned a split of the four-game…",2025-04-28T23:23:09Z,Yahoo Entertainment
Cheehoo Raises $10 Million To Build AI Tools For 3D Animation,"Cheehoo raises $10M to launch an AI-powered creative engine for animators and IP holders, aiming to streamline animation workflows and asset reuse.",2025-04-28T23:19:22Z,Forbes
"NBA: Jaden McDaniels tripped Luka Dončić late in Timberwolves' win over Lakers, and refs missed the call",Lakers head coach JJ Redick was adamant that Luka Dončić got fouled when he tripped over Jaden McDaniels. It turns out that the NBA agrees.,2025-04-28T23:17:44Z,Yahoo Entertainment
"What to watch in sports this week: Playoffs, Champions League semis and 151st Kentucky Derby","“I got a color TV so I can see the Knicks play basketball,” Sugarhill Gang’s Big Bank Hank famously flexed back in 1979. Almost a half-century later, and just about everyone owns a flatscreen (if not a full fleet of devices to stream from). Better still, we c…",2025-04-28T23:16:06Z,Yahoo Entertainment
Cramer's Lightning Round: Take-Two Interactive 'is going much higher',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",2025-04-28T23:13:54Z,CNBC
Browns reach 1-year deal with WR Diontae Johnson after selecting two QBs in the NFL Draft,The Browns will mark Diontae Johnson's fourth team in the past year.,2025-04-28T23:12:12Z,Yahoo Entertainment
Brazilian justice orders government to seize lands with proven illegal deforestation,,2025-04-28T23:12:09Z,Yahoo Entertainment
Steelers add veteran to wide receivers room,"On Monday, reports confirmed Pittsburgh signed veteran wide receiver Robert Woods.",2025-04-28T23:09:31Z,Yahoo Entertainment
Amazon launches first Kuiper internet satellites in bid to take on Starlink,"After the first launch was postponed due to weather, Amazon's Kuiper satellites are off to space.",2025-04-28T23:08:50Z,CNBC
OpenAI is fixing a 'bug' that allowed minors to generate erotic conversations | TechCrunch,A bug in ChatGPT allowed the chatbot to generate graphic erotica for accounts where a user registered as a minor. OpenAI says it's fixing it.,2025-04-28T23:08:26Z,TechCrunch
Strategy Incorporated (MSTR): Among Large-Cap Stocks Insiders Were Buying in Q1 2025 Before Trump’s Tariff Shockwave,,2025-04-28T23:08:08Z,Yahoo Entertainment
"I'm a mom who works in tech, and AI scares me. I taught my daughter these simple guidelines to spot fake content.","Although I work in tech, I'm very wary of AI. To help protect my daughter, I'm teaching her how to detect fake content and how to fact-check.",2025-04-28T23:08:02Z,Business Insider
"Simon Property Group, Inc. (SPG): Among Large-Cap Stocks Insiders Were Buying in Q1 2025 Before Trump’s Tariff Shockwave","We recently published a list of 12 Large-Cap Stocks Insiders Were Buying in Q1 2025 Before Trump’s Tariff Shockwave. In this article, we are going to take a ...",2025-04-28T23:07:27Z,Yahoo Entertainment
Marathon Petroleum Corporation (MPC): Among Large-Cap Stocks Insiders Were Buying in Q1 2025 Before Trump’s Tariff Shockwave,,2025-04-28T23:06:52Z,Yahoo Entertainment
"Emerging economies lead the way in AI trust, survey shows",,2025-04-28T23:06:05Z,Yahoo Entertainment
Cavaliers say Garland will miss Game 4 against Miami with sprained toe,"Darius Garland will get at least a couple more days off, after the Cleveland Cavaliers ruled the All-Star guard out of Game 4 of their Eastern Conference first-round series against the Miami Heat on Monday night. Garland is dealing with a sprained left great …",2025-04-28T23:05:35Z,Yahoo Entertainment
Guardians pitcher Triston McKenzie accepts outright assignment to Triple-A Columbus,Guardians pitcher Triston McKenzie has accepted his outright assignment to Triple-A Columbus after clearing waivers on Monday. McKenzie — a first-round pick by Cleveland in 2015 — has gone 3-8 with a 5.11 ERA over the past two seasons as he has struggled with…,2025-04-28T23:05:24Z,Yahoo Entertainment
Canadian party leaders vote as Trump repeats call for nation to become US state,,2025-04-28T23:04:37Z,Yahoo Entertainment
"Researchers asked almost 50,000 people how they use AI. Over half of workers said they hide it from their bosses.","A new study by KPMG and the University of Melbourne found that there is a ""seductive"" element to workers hiding their AI usage.",2025-04-28T23:01:02Z,Business Insider
Rangers select contract of veteran right-hander Dane Dunning,,2025-04-28T23:00:46Z,Yahoo Entertainment
Texas A&M Football Key Portal Exits and Official Visits Drive Latest Recruiting Updates,Texas A&M secures official visits from top 2026 recruits while adjusting to key transfer portal departures,2025-04-28T23:00:00Z,Yahoo Entertainment
How ‘Star Wars’ Tapped Into Audience Enthusiasm In $25 Million Weekend,"Just in time for ""Andor"" season 2 comes the 20th anniversary celebration of ""Star Wars: Episode III - Revenge of the Sith"" to steal second place at the weekend box office.",2025-04-28T22:59:49Z,Forbes
Tesla's Semi factory in Nevada to have first trucks in production by end of 2025,"Dan Priestley, who leads the Semi program at Tesla, said in a video posted to YouTube on Monday, that the factory has an annual capacity of 50,000 units...",2025-04-28T22:52:58Z,Yahoo Entertainment
Oracle engineers caused days-long software outage at U.S. hospitals,"Oracle engineers triggered a five-day outage at several Community Health Systems hospitals, causing the facilities to temporarily return to paper-based records.",2025-04-28T22:52:50Z,CNBC
Anthony Smith's big UFC sendoff raises the question: Is there more than one way to have a good career in MMA?,"Anthony Smith got a fond farewell from the UFC for his retirement fight, which left some fans wondering what kind of career it takes to earn a warm goodbye.",2025-04-28T22:52:45Z,Yahoo Entertainment
ConocoPhillips (COP): Among Billionaire Israel Englander’s Stock Picks with Huge Upside Potential,,2025-04-28T22:52:30Z,Yahoo Entertainment
The Walt Disney Company (DIS): Among Billionaire Israel Englander’s Stock Picks with Huge Upside Potential,,2025-04-28T22:51:44Z,Yahoo Entertainment
MercadoLibre proposes to move US legal home to Texas from Delaware,,2025-04-28T22:47:37Z,Yahoo Entertainment
Jim Cramer on Vertiv Holdings Co (VRT): A Fantastic Company Nobody Seems to Care About,"We recently published a list of Jim Cramer Talks About Elon Musk & Discusses These 11 Stocks. In this article, we are going to take a look at where Vertiv...",2025-04-28T22:45:48Z,Yahoo Entertainment
"Kristi Noem’s alleged bag thief spent $205 on food and alcohol on her AmEx before falling asleep at restaurant table, charging documents show",,2025-04-28T22:45:28Z,Yahoo Entertainment
Jim Cramer on Discover Financial Services (DFS): A Green Light That Will Shake the Industry,"We recently published a list of Jim Cramer Talks About Elon Musk & Discusses These 11 Stocks. In this article, we are going to take a look at where Discover ...",2025-04-28T22:44:48Z,Yahoo Entertainment
Is Bank of America Corporation (BAC) the Best Stock to Buy According to Billionaire Warren Buffett?,,2025-04-28T22:43:28Z,Yahoo Entertainment
Astros' Altuve asks to move out of leadoff spot to have more time to get back from left field,Jose Altuve asked manager Joe Espada to move him out of the leadoff spot and into the second hole for the Houston Astros. The 34-year-old Altuve made the transition to the outfield this season after the trade of Kyle Tucker and the departure of Alex Bregman s…,2025-04-28T22:41:09Z,Yahoo Entertainment
"Carrier LATAM raises core earning outlook on strong Q1, stable demand","LATAM Airlines on Monday hiked its estimated core earnings for the year, citing strong first-quarter results and stable demand. The Chilean carrier bumped up...",2025-04-28T22:38:38Z,Yahoo Entertainment
"Amazon’s Summer Beauty Event Starts Today—Save Up To 55% On Medicube, Laneige And More",Amazon's Summer Beauty Sale is officially here. We found the best deals available so far.,2025-04-28T22:31:02Z,Forbes
"Steelers reach 1-year deal with WR Robert Woods amid Aaron Rodgers, QB search",Whoever the Steelers' next starting quarterback is this fall will have a new veteran target available.,2025-04-28T22:30:56Z,Yahoo Entertainment
"West Coast ports see 30% decline in freight volume amid tariffs, TD Cowen says",Investing.com -- TD Cowen analysts highlighted significant decreases in shipping volumes at U.S. ports during a critical import season. According to Jason...,2025-04-28T22:26:00Z,Yahoo Entertainment
Apple’s iPhone 17 Air Refuses To Take Risks,"Tim Cook will hope that the slimline iPhone 17 Air will be a trend setter when it launches later this year, But is the new iPhone nothing more than a follower of fashion?",2025-04-28T22:23:00Z,Forbes
Jimmy Butler reportedly will play in Game 4 of Warriors vs. Rockets after missing time with pelvic contusion,Butler missed Saturday's Game 3 matchup after suffering a deep glute muscle contusion following a collision in Game 2.,2025-04-28T22:21:32Z,Yahoo Entertainment
Is American Express Company (AXP) the Best Stock to Buy According to Billionaire Warren Buffett?,"We recently published a list of 10 Best Stocks to Buy According to Billionaire Warren Buffett. In this article, we are going to take a look at where American...",2025-04-28T22:21:29Z,Yahoo Entertainment
Jim Cramer on Capital One Financial Corporation (COF): Thank Heavens for This Disruptive Deal,"We recently published a list of Jim Cramer Talks About Elon Musk & Discusses These 11 Stocks. In this article, we are going to take a look at where Capital...",2025-04-28T22:20:45Z,Yahoo Entertainment
"As Miami Grand Prix Approaches, F1 Still Without A New U.S. Media Rights Deal","Formula 1 has seen incredible growth in the U.S. over the last five years, but is still in need of a U.S. media rights deal. Here's the details.",2025-04-28T22:20:23Z,Forbes
Is Apple Inc. (AAPL) the Best Stock to Buy According to Billionaire Warren Buffett?,,2025-04-28T22:20:14Z,Yahoo Entertainment
S&P removes Boeing's rating from CreditWatch negative on improving aircraft production,"The U.S. planemaker's rating was placed on CreditWatch negative after about 33,000 of its workers went on a strike, which halted production of its best...",2025-04-28T22:15:31Z,Yahoo Entertainment
"Jim Cramer on ServiceNow, Inc. (NOW): Negative Chatter Can’t Sink a Loved Stock",,2025-04-28T22:13:55Z,Yahoo Entertainment
Randle has been a handful for the Lakers in the playoffs as the Wolves relish his physical presence,"Julius Randle dropped in another timely basket in the second half and turned toward the sideline as he shuffled back on defense, beating his chest with both fists to further boost the decibel level at Target Center that was roaring all afternoon as the Minnes…",2025-04-28T22:13:03Z,Yahoo Entertainment
Is Moody’s Corporation (MCO) the Best Stock to Buy According to Billionaire Warren Buffett?,"We recently published a list of 10 Best Stocks to Buy According to Billionaire Warren Buffett. In this article, we are going to take a look at where Moody’s ...",2025-04-28T22:13:02Z,Yahoo Entertainment
Chicago Mayor Brandon Johnson hesitant on giving police ‘snap’ teen curfew power,,2025-04-28T22:13:00Z,Yahoo Entertainment
"2025 SW FL spring football: Old faces in new places, college scouts, coach debuts on first day",A report from Southwest Florida high school football 2025 spring practices. See what's new as area programs take the field.,2025-04-28T22:12:25Z,Yahoo Entertainment
Crime scene images from ‘Xbox murders’ put forth in resentencing hearing,,2025-04-28T22:09:02Z,Yahoo Entertainment
Renters at senior living complex say they’re being exposed to asbestos,,2025-04-28T22:04:05Z,Yahoo Entertainment
How Retirement Investment Strategy Impacts Retirement Spending,See how your retirement investment choices impact replacing your income in retirement. Discover the impact various combinations of stock and bond mixes can make.,2025-04-28T21:59:11Z,Forbes
Trump administration targets Harvard Law Review with investigation of race-based discrimination,,2025-04-28T21:54:39Z,CNBC
Why consumers are 'still spending' despite economic uncertainty,,2025-04-28T21:54:03Z,Yahoo Entertainment
MetroWest native is transferring to a Big 12 football program,Chris Domercant is headed to his third team in the past three years. After four years at the FCS level he’s found a home with a Big 12 program.,2025-04-28T21:50:28Z,Yahoo Entertainment
Boeing outlook remains negative as S&P cites recovery risks,Investing.com -- S&P Global Ratings affirmed Boeing Co ’s (NYSE:BA) ’BBB-’ credit rating Monday and removed the aerospace giant from CreditWatch Negative...,2025-04-28T21:49:15Z,Yahoo Entertainment
Trump admin proposed sending up to 500 alleged Venezuelan gang members during negotiations to use El Salvador’s mega-prison,"The United States proposed sending up to 500 Venezuelan migrants with alleged ties to the Tren de Aragua gang to El Salvador as the two governments sought to reach an agreement on the use of the Central American nation’s notorious mega-prison, according to em…",2025-04-28T21:46:44Z,CNN
Be Wary Of DGL Group (ASX:DGL) And Its Returns On Capital,,2025-04-28T21:46:11Z,Yahoo Entertainment
Grayscale Seeks SEC Approval for Ethereum Staking,,2025-04-28T21:45:00Z,Yahoo Entertainment
Why Tyler Technologies Stock Slipped on Monday,,2025-04-28T21:44:21Z,Yahoo Entertainment
Trump salutes 'incredible' Eagles at White House reception,"President Donald Trump lavished praise on the Philadelphia Eagles on Monday, saluting the Super Bowl-winning NFL champions as ""incredible"" at a White House reception.The 2018 Super Bowl-winning Eagles had been in the front line of Trump's spat with the NFL ov…",2025-04-28T21:42:30Z,Yahoo Entertainment
"Celtics, Knicks, Pacers can advance Tuesday in Game 5s, but Nuggets-Clippers is too close to call","The Boston Celtics, New York Knicks and Indiana Pacers are on the verge of a second round that appears to be taking shape quickly in the Eastern Conference. Nothing can be decided Tuesday night in the only game out West, where the Denver Nuggets and Los Angel…",2025-04-28T21:42:22Z,Yahoo Entertainment
Credit card debt statistics [2025]: See the trends,,2025-04-28T21:42:20Z,Yahoo Entertainment
Passengers Evacuate Madrid Metro in the Dark Amid Power Outage,,2025-04-28T21:40:52Z,Yahoo Entertainment
Filipino 'caring culture' hit hard by Canada truck-ramming that killed 11,,2025-04-28T21:40:16Z,Yahoo Entertainment
"USC commit Alijah Arenas walking, talking in the hospital amid recovery from car crash that put him in medically-induced coma",Alijah Arenas is expected to be released from the hospital in the near future.,2025-04-28T21:40:14Z,Yahoo Entertainment
"Alibaba unveils Qwen 3, a family of 'hybrid' AI reasoning models","Chinese tech company Alibaba on Monday released Qwen 3, a family of AI models the company claims matches and in some cases outperforms the best models...",2025-04-28T21:37:54Z,TechCrunch
Get Ready For Bed Like A Sleep Editor: 9 Expert-Backed Tools For Your Nightly Routine,A routine becomes easier to maintain when you have the right tools to support it. Get ready for bed like a sleep editor with these helpful rest-promoting accessories.,2025-04-28T21:37:33Z,Forbes
"Three predictions: Osborne's choice, Brown's ranking, Oregon's QB pursuit",Is OL Lamar Brown destined for five-star status? Adam Gorney thinks so.,2025-04-28T21:36:19Z,Yahoo Entertainment
Alijah Arenas 'doing much better' but remains hospitalized after Cybertruck crash,USC recruit and Chatsworth basketball star Alijah Arenas is still recovering after crashing his Tesla Cybertruck into a fire hydrant and tree last week.,2025-04-28T21:34:34Z,Yahoo Entertainment
Dustin Poirier 'blown away' by UFC retirement fight setup: 'I didn't think they would entertain that idea',Dustin Poirier is finally ready to call it a career — and will do so in his home state of Louisiana at UFC 318.,2025-04-28T21:34:32Z,Yahoo Entertainment
GM Recalls 887K Trucks and Full-Size SUVs Due to Defective 6.2L V-8s,,2025-04-28T21:30:00Z,Yahoo Entertainment
NFL Draft: Former five-stars that went undrafted,Florida State quarterback DJ Uiagalelei was one of 11 draft-eligible former five-stars that went undrafted.,2025-04-28T21:29:05Z,Yahoo Entertainment
Arizona State adds a commitment from four-star WR Nalin Scott,More from Nalin Scott on his commitment inside,2025-04-28T21:28:54Z,Yahoo Entertainment
Zelenskiy praises 'liquidation' of top Russian military figures,"Zelenskiy's remarks, on the Telegram messaging app, made no reference to any specific instance, but appeared to be an oblique reference to the killing...",2025-04-28T21:28:54Z,Yahoo Entertainment
Real Madrid's Ancelotti agrees Brazil deal - reports,"Real Madrid coach Carlo Ancelotti has agreed to take over the Brazilian national team, several Spanish media outlets reported Monday.Spanish media report Ancelotti would take over ahead of 2026 World Cup qualifiers in June, leaving Madrid before the Club Worl…",2025-04-28T21:26:33Z,Yahoo Entertainment
Massive Changes Proposed In New House GOP Student Loan Plan Include Student Loan Repayment Overhaul,The House GOP student loan plan proposes eliminating most income-driven repayment plans. Here’s what it could mean for future student loan borrowers.,2025-04-28T21:26:33Z,Forbes
Iowa football sneaks inside On3 post-spring top 25 rankings,Iowa football finds its way inside On3's post-spring top 25 rankings.,2025-04-28T21:25:38Z,Yahoo Entertainment
Walmart+ Week 2025 Is Officially Here,"Walmart+ Week just started. Here are all of the offers, plus everything else you need to know about the event.",2025-04-28T21:23:30Z,Forbes
