Date,Price
,PM
2020-04-29,58.87559509277344
2020-04-30,57.41332244873047
2020-05-01,56.397430419921875
2020-05-04,56.42051696777344
2020-05-05,55.566246032714844
2020-05-06,55.02751159667969
2020-05-07,53.980831146240234
2020-05-08,55.412330627441406
2020-05-11,54.85819625854492
2020-05-12,53.77305603027344
2020-05-13,52.941856384277344
2020-05-14,52.303070068359375
2020-05-15,52.16455078125
2020-05-18,52.526268005371094
2020-05-19,52.72636795043945
2020-05-20,54.23481369018555
2020-05-21,54.257904052734375
2020-05-22,54.219417572021484
2020-05-26,55.51237487792969
2020-05-27,56.88228988647461
2020-05-28,56.57444381713867
2020-05-29,56.45899200439453
2020-06-01,56.7899284362793
2020-06-02,56.74374771118164
2020-06-03,57.11317443847656
2020-06-04,57.86738967895508
2020-06-05,58.4215202331543
2020-06-08,59.799110412597656
2020-06-09,58.22142028808594
2020-06-10,57.82891082763672
2020-06-11,54.835105895996094
2020-06-12,54.19632339477539
2020-06-15,55.566246032714844
2020-06-16,57.45949935913086
2020-06-17,57.02081298828125
2020-06-18,57.41332244873047
2020-06-19,56.45161437988281
2020-06-22,56.32652282714844
2020-06-23,55.89647674560547
2020-06-24,54.80185317993164
2020-06-25,55.255340576171875
2020-06-26,53.84796142578125
2020-06-29,55.1302375793457
2020-06-30,54.77839279174805
2020-07-01,54.72365951538086
2020-07-02,55.091148376464844
2020-07-06,55.20061111450195
2020-07-07,57.030208587646484
2020-07-08,56.5297966003418
2020-07-09,54.840938568115234
2020-07-10,57.04583740234375
2020-07-13,57.46807098388672
2020-07-14,58.10139846801758
2020-07-15,58.640869140625
2020-07-16,58.91453170776367
2020-07-17,58.664337158203125
2020-07-20,56.99110412597656
2020-07-21,59.36020278930664
2020-07-22,59.42274475097656
2020-07-23,59.657310485839844
2020-07-24,60.08735656738281
2020-07-27,61.40872573852539
2020-07-28,60.96304702758789
2020-07-29,61.29144287109375
2020-07-30,60.55646896362305
2020-07-31,60.05606460571289
2020-08-03,59.8371467590332
2020-08-04,60.28282165527344
2020-08-05,60.17333984375
2020-08-06,60.298458099365234
2020-08-07,60.595577239990234
2020-08-10,61.275814056396484
2020-08-11,61.54947280883789
2020-08-12,62.30788040161133
2020-08-13,61.09598159790039
2020-08-14,60.75975799560547
2020-08-17,61.1898078918457
2020-08-18,61.909114837646484
2020-08-19,61.5338249206543
2020-08-20,61.15851593017578
2020-08-21,61.03342056274414
2020-08-24,62.2609748840332
2020-08-25,62.2531623840332
2020-08-26,62.534610748291016
2020-08-27,62.550270080566406
2020-08-28,63.12884521484375
2020-08-31,62.386070251464844
2020-09-01,61.799659729003906
2020-09-02,62.534610748291016
2020-09-03,62.018585205078125
2020-09-04,61.88566970825195
2020-09-08,61.791847229003906
2020-09-09,62.91774368286133
2020-09-10,62.8708381652832
2020-09-11,63.51198196411133
2020-09-14,64.06710052490234
2020-09-15,63.644901275634766
2020-09-16,63.01940155029297
2020-09-17,62.13587188720703
2020-09-18,61.049049377441406
2020-09-21,60.85359573364258
2020-09-22,60.212459564208984
2020-09-23,59.96623229980469
2020-09-24,60.6413459777832
2020-09-25,59.886802673339844
2020-09-28,60.60957336425781
2020-09-29,59.044891357421875
2020-09-30,59.56116485595703
2020-10-01,58.886043548583984
2020-10-02,59.140201568603516
2020-10-05,60.291873931884766
2020-10-06,59.96623229980469
2020-10-07,62.78584289550781
2020-10-08,62.2139778137207
2020-10-09,62.650821685791016
2020-10-12,63.000282287597656
2020-10-13,62.91292190551758
2020-10-14,62.674625396728516
2020-10-15,62.85730743408203
2020-10-16,62.96056365966797
2020-10-19,61.82478332519531
2020-10-20,58.24269485473633
2020-10-21,58.63187789916992
2020-10-22,59.4578971862793
2020-10-23,59.132259368896484
2020-10-26,58.49685287475586
2020-10-27,56.65419387817383
2020-10-28,55.62959289550781
2020-10-29,56.10614776611328
2020-10-30,56.407962799072266
2020-11-02,56.892452239990234
2020-11-03,57.04335403442383
2020-11-04,56.82098388671875
2020-11-05,56.31264877319336
2020-11-06,55.955238342285156
2020-11-09,56.892452239990234
2020-11-10,59.37052917480469
2020-11-11,59.656463623046875
2020-11-12,59.171974182128906
2020-11-13,60.27597427368164
2020-11-16,62.45224380493164
2020-11-17,62.25368881225586
2020-11-18,61.530914306640625
2020-11-19,61.56269836425781
2020-11-20,60.94316864013672
2020-11-23,60.86372756958008
2020-11-24,61.96775817871094
2020-11-25,61.07024383544922
2020-11-27,60.283935546875
2020-11-30,60.164791107177734
2020-12-01,61.18143844604492
2020-12-02,62.00746536254883
2020-12-03,62.34899139404297
2020-12-04,64.13607788085938
2020-12-07,64.87472534179688
2020-12-08,65.63720703125
2020-12-09,67.20189666748047
2020-12-10,67.4878158569336
2020-12-11,67.51165008544922
2020-12-14,67.03509521484375
2020-12-15,66.94772338867188
2020-12-16,68.01203918457031
2020-12-17,68.0438003540039
2020-12-18,68.37739562988281
2020-12-21,66.8524398803711
2020-12-22,66.22394561767578
2020-12-23,66.23199462890625
2020-12-24,66.48178100585938
2020-12-28,66.46565246582031
2020-12-29,65.96610260009766
2020-12-30,65.65187072753906
2020-12-31,66.7073745727539
2021-01-04,65.66796875
2021-01-05,66.38507843017578
2021-01-06,66.47371673583984
2021-01-07,66.86048126220703
2021-01-08,66.94910430908203
2021-01-11,66.32062530517578
2021-01-12,65.32150268554688
2021-01-13,65.43431854248047
2021-01-14,65.41012573242188
2021-01-15,65.21675109863281
2021-01-19,65.99027252197266
2021-01-20,65.82913970947266
2021-01-21,65.53099822998047
2021-01-22,65.00727081298828
