Date,Price
,AMP
2020-04-29,108.08531951904297
2020-04-30,105.26457977294922
2020-05-01,101.89437866210938
2020-05-04,103.5428466796875
2020-05-05,101.40899658203125
2020-05-06,98.24940490722656
2020-05-07,111.48303985595703
2020-05-08,115.03640747070312
2020-05-11,113.44287109375
2020-05-12,110.95184326171875
2020-05-13,107.49003601074219
2020-05-14,112.27977752685547
2020-05-15,112.667724609375
2020-05-18,121.85810852050781
2020-05-19,118.7269058227539
2020-05-20,121.58102416992188
2020-05-21,122.03360748291016
2020-05-22,122.34768676757812
2020-05-26,129.3489532470703
2020-05-27,135.05718994140625
2020-05-28,132.67416381835938
2020-05-29,129.3766632080078
2020-06-01,132.9512481689453
2020-06-02,135.2234344482422
2020-06-03,139.91563415527344
2020-06-04,141.43040466308594
2020-06-05,143.6934051513672
2020-06-08,150.27906799316406
2020-06-09,147.40646362304688
2020-06-10,142.2894287109375
2020-06-11,128.4714813232422
2020-06-12,135.4451141357422
2020-06-15,138.71485900878906
2020-06-16,141.79066467285156
2020-06-17,138.2622833251953
2020-06-18,139.0381317138672
2020-06-19,137.02455139160156
2020-06-22,136.95989990234375
2020-06-23,137.26473999023438
2020-06-24,132.04608154296875
2020-06-25,139.9803009033203
2020-06-26,135.8053436279297
2020-06-29,137.0338134765625
2020-06-30,138.58554077148438
2020-07-01,134.69699096679688
2020-07-02,134.34597778320312
2020-07-06,138.7333221435547
2020-07-07,134.97402954101562
2020-07-08,137.0800018310547
2020-07-09,132.3508758544922
2020-07-10,137.23699951171875
2020-07-13,136.6920623779297
2020-07-14,138.36387634277344
2020-07-15,142.33560180664062
2020-07-16,141.21798706054688
2020-07-17,141.6613311767578
2020-07-20,142.59422302246094
2020-07-21,145.3190155029297
2020-07-22,145.90090942382812
2020-07-23,144.83871459960938
2020-07-24,143.40704345703125
2020-07-27,144.40457153320312
2020-07-28,142.2894287109375
2020-07-29,144.93106079101562
2020-07-30,140.43284606933594
2020-07-31,141.90147399902344
2020-08-03,143.80418395996094
2020-08-04,141.70750427246094
2020-08-05,144.24757385253906
2020-08-06,143.95199584960938
2020-08-07,148.6292266845703
2020-08-10,149.5497589111328
2020-08-11,151.14913940429688
2020-08-12,149.78224182128906
2020-08-13,147.84814453125
2020-08-14,148.46185302734375
2020-08-17,146.76019287109375
2020-08-18,145.52346801757812
2020-08-19,145.84890747070312
2020-08-20,144.2588653564453
2020-08-21,143.6730194091797
2020-08-24,146.6578826904297
2020-08-25,145.9791259765625
2020-08-26,144.81680297851562
2020-08-27,147.94110107421875
2020-08-28,147.745849609375
2020-08-31,145.8024139404297
2020-09-01,146.13719177246094
2020-09-02,148.52691650390625
2020-09-03,145.3746795654297
2020-09-04,145.5606689453125
2020-09-08,139.02371215820312
2020-09-09,139.57237243652344
2020-09-10,139.5444793701172
2020-09-11,141.43206787109375
2020-09-14,145.08648681640625
2020-09-15,143.05935668945312
2020-09-16,146.3882293701172
2020-09-17,145.9884033203125
2020-09-18,146.64859008789062
2020-09-21,139.84201049804688
2020-09-22,138.26126098632812
2020-09-23,135.155517578125
2020-09-24,134.4674072265625
2020-09-25,136.44802856445312
2020-09-28,140.85557556152344
2020-09-29,139.8326873779297
2020-09-30,143.3010711669922
2020-10-01,144.41693115234375
2020-10-02,147.70864868164062
2020-10-05,151.25143432617188
2020-10-06,148.592041015625
2020-10-07,153.3249969482422
2020-10-08,157.43499755859375
2020-10-09,158.39273071289062
2020-10-12,159.97349548339844
2020-10-13,155.0359649658203
2020-10-14,155.3520965576172
2020-10-15,158.9878692626953
2020-10-16,158.0301055908203
2020-10-19,157.18389892578125
2020-10-20,156.2075958251953
2020-10-21,155.0545654296875
2020-10-22,158.37417602539062
2020-10-23,158.43927001953125
2020-10-26,153.99452209472656
2020-10-27,151.0003662109375
2020-10-28,147.15072631835938
2020-10-29,149.8101348876953
2020-10-30,149.5497589111328
2020-11-02,152.91583251953125
2020-11-03,155.70547485351562
2020-11-04,156.58880615234375
2020-11-05,160.57794189453125
2020-11-06,158.82855224609375
2020-11-09,171.13967895507812
2020-11-10,171.35482788085938
2020-11-11,169.60549926757812
2020-11-12,165.8634796142578
2020-11-13,172.95455932617188
2020-11-16,173.9742431640625
2020-11-17,172.34649658203125
2020-11-18,171.50453186035156
2020-11-19,171.78518676757812
2020-11-20,168.20225524902344
2020-11-23,171.9067840576172
2020-11-24,180.24209594726562
2020-11-25,177.92205810546875
2020-11-27,178.4459228515625
2020-11-30,173.2913360595703
2020-12-01,177.97817993164062
2020-12-02,180.96241760253906
2020-12-03,182.15049743652344
2020-12-04,183.6192169189453
2020-12-07,181.8979034423828
2020-12-08,180.09237670898438
2020-12-09,180.7753143310547
2020-12-10,180.41046142578125
2020-12-11,179.37205505371094
2020-12-14,178.6704559326172
2020-12-15,178.46461486816406
2020-12-16,177.50108337402344
2020-12-17,177.7910614013672
2020-12-18,174.8816680908203
2020-12-21,174.71327209472656
2020-12-22,173.1229705810547
2020-12-23,176.3784942626953
2020-12-24,177.46365356445312
2020-12-28,177.72560119628906
2020-12-29,176.87428283691406
2020-12-30,179.00721740722656
2020-12-31,181.79498291015625
2021-01-04,175.97622680664062
2021-01-05,174.94712829589844
2021-01-06,184.9850311279297
2021-01-07,187.22085571289062
2021-01-08,188.54930114746094
2021-01-11,188.5773468017578
2021-01-12,191.35577392578125
2021-01-13,189.9712371826172
2021-01-14,193.60096740722656
2021-01-15,194.8451690673828
2021-01-19,199.25132751464844
2021-01-20,199.410400390625
2021-01-21,198.26905822753906
2021-01-22,198.12872314453125
