Date,Price
,SPGI
2020-04-29,282.3112487792969
2020-04-30,280.83453369140625
2020-05-01,274.2950439453125
2020-05-04,274.0169982910156
2020-05-05,283.26055908203125
2020-05-06,277.45941162109375
2020-05-07,283.423583984375
2020-05-08,285.40838623046875
2020-05-11,288.31378173828125
2020-05-12,286.90423583984375
2020-05-13,282.2920837402344
2020-05-14,287.77685546875
2020-05-15,290.6726379394531
2020-05-18,298.8134765625
2020-05-19,298.2955627441406
2020-05-20,301.0859069824219
2020-05-21,297.9791564941406
2020-05-22,299.0339660644531
2020-05-26,300.1390380859375
2020-05-27,303.1083679199219
2020-05-28,306.3467102050781
2020-05-29,312.32373046875
2020-06-01,314.5146179199219
2020-06-02,314.5819091796875
2020-06-03,320.3572082519531
2020-06-04,314.6011657714844
2020-06-05,320.3475036621094
2020-06-08,319.0118713378906
2020-06-09,314.8125305175781
2020-06-10,318.2430419921875
2020-06-11,295.03643798828125
2020-06-12,304.530517578125
2020-06-15,307.1634521484375
2020-06-16,312.23724365234375
2020-06-17,313.572998046875
2020-06-18,314.0437927246094
2020-06-19,311.0841369628906
2020-06-22,313.61138916015625
2020-06-23,315.72540283203125
2020-06-24,305.5491638183594
2020-06-25,315.0142822265625
2020-06-26,309.037353515625
2020-06-29,308.7394714355469
2020-06-30,316.6094970703125
2020-07-01,321.45263671875
2020-07-02,320.23223876953125
2020-07-06,327.6986999511719
2020-07-07,327.862060546875
2020-07-08,340.4792175292969
2020-07-09,338.941650390625
2020-07-10,338.0672607421875
2020-07-13,332.5706787109375
2020-07-14,337.9039001464844
2020-07-15,340.94036865234375
2020-07-16,335.85711669921875
2020-07-17,340.83477783203125
2020-07-20,344.1019592285156
2020-07-21,340.96929931640625
2020-07-22,342.5260009765625
2020-07-23,334.65594482421875
2020-07-24,336.2990417480469
2020-07-27,337.596435546875
2020-07-28,334.0216979980469
2020-07-29,345.802734375
2020-07-30,338.6053161621094
2020-07-31,336.5681457519531
2020-08-03,336.98138427734375
2020-08-04,332.2632141113281
2020-08-05,333.8199157714844
2020-08-06,338.79754638671875
2020-08-07,333.70458984375
2020-08-10,330.6295471191406
2020-08-11,330.28363037109375
2020-08-12,335.5495910644531
2020-08-13,342.218505859375
2020-08-14,338.50921630859375
2020-08-17,343.1890563964844
2020-08-18,346.0526123046875
2020-08-19,344.12109375
2020-08-20,347.1097412109375
2020-08-21,347.8687744140625
2020-08-24,345.9373474121094
2020-08-25,345.1382751464844
2020-08-26,350.8280029296875
2020-08-27,350.4140319824219
2020-08-28,353.1577453613281
2020-08-31,352.7630310058594
2020-09-01,354.65966796875
2020-09-02,364.3061828613281
2020-09-03,340.507568359375
2020-09-04,332.3147277832031
2020-09-08,327.9632263183594
2020-09-09,338.6687316894531
2020-09-10,331.6408386230469
2020-09-11,335.7901306152344
2020-09-14,339.92987060546875
2020-09-15,343.88665771484375
2020-09-16,344.2139892578125
2020-09-17,338.62054443359375
2020-09-18,337.9273681640625
2020-09-21,337.8118591308594
2020-09-22,337.1186828613281
2020-09-23,330.27374267578125
2020-09-24,332.97900390625
2020-09-25,339.6988525390625
2020-09-28,342.29815673828125
2020-09-29,343.67486572265625
2020-09-30,347.1600036621094
2020-10-01,350.1733093261719
2020-10-02,349.4513244628906
2020-10-05,351.36712646484375
2020-10-06,341.10443115234375
2020-10-07,341.6724853515625
2020-10-08,343.88665771484375
2020-10-09,343.463134765625
2020-10-12,346.6689758300781
2020-10-13,340.8060607910156
2020-10-14,338.40875244140625
2020-10-15,334.5001220703125
2020-10-16,335.1932373046875
2020-10-19,328.4349060058594
2020-10-20,327.47216796875
2020-10-21,325.3157043457031
2020-10-22,324.6802062988281
2020-10-23,324.8535461425781
2020-10-26,321.1180725097656
2020-10-27,318.5188293457031
2020-10-28,314.5234680175781
2020-10-29,313.5992431640625
2020-10-30,310.701416015625
2020-11-02,315.697998046875
2020-11-03,322.2734069824219
2020-11-04,338.01409912109375
2020-11-05,342.7217712402344
2020-11-06,341.1524658203125
2020-11-09,333.49884033203125
2020-11-10,322.6103515625
2020-11-11,331.1497497558594
2020-11-12,328.983642578125
2020-11-13,329.17620849609375
2020-11-16,326.9619140625
2020-11-17,324.1123046875
2020-11-18,323.93896484375
2020-11-19,326.0087890625
2020-11-20,325.67181396484375
2020-11-23,324.5550537109375
2020-11-24,322.39422607421875
2020-11-25,326.0888977050781
2020-11-27,329.49407958984375
2020-11-30,339.3431396484375
2020-12-01,322.5003662109375
2020-12-02,321.4971923828125
2020-12-03,315.06292724609375
2020-12-04,327.44903564453125
2020-12-07,324.3525085449219
2020-12-08,321.90228271484375
2020-12-09,315.709228515625
2020-12-10,314.31048583984375
2020-12-11,313.3363037109375
2020-12-14,312.236572265625
2020-12-15,312.3908996582031
2020-12-16,309.5259094238281
2020-12-17,309.7091979980469
2020-12-18,311.0982971191406
2020-12-21,308.281494140625
2020-12-22,307.65447998046875
2020-12-23,302.5419006347656
2020-12-24,305.38763427734375
2020-12-28,306.7959289550781
2020-12-29,310.1239929199219
2020-12-30,312.1883544921875
2020-12-31,317.1080322265625
2021-01-04,321.46826171875
2021-01-05,316.8379211425781
2021-01-06,317.2333984375
2021-01-07,317.4360046386719
2021-01-08,315.2945251464844
2021-01-11,307.9149475097656
2021-01-12,304.6930236816406
2021-01-13,301.0177001953125
2021-01-14,295.355224609375
2021-01-15,295.1334228515625
2021-01-19,302.0692138671875
2021-01-20,310.55810546875
2021-01-21,306.4872741699219
2021-01-22,303.99853515625
2021-01-25,303.7958679199219
2021-01-26,307.7316589355469
