Date,Price
,DIS
2020-04-29,110.8802261352539
2020-04-30,106.83026123046875
2020-05-01,104.21259307861328
2020-05-04,101.92090606689453
2020-05-05,99.82677459716797
2020-05-06,99.64896392822266
2020-05-07,104.28173828125
2020-05-08,107.82794189453125
2020-05-11,106.45489501953125
2020-05-12,103.2840576171875
2020-05-13,101.66407775878906
2020-05-14,104.61759948730469
2020-05-15,107.71927642822266
2020-05-18,115.4240951538086
2020-05-19,112.974365234375
2020-05-20,118.45661926269531
2020-05-21,116.39213562011719
2020-05-22,116.57980346679688
2020-05-26,119.47406005859375
2020-05-27,120.04698181152344
2020-05-28,115.32530975341797
2020-05-29,115.86859893798828
2020-06-01,117.3206558227539
2020-06-02,117.30091094970703
2020-06-03,120.68904876708984
2020-06-04,122.18062591552734
2020-06-05,123.29683685302734
2020-06-08,125.72681427001953
2020-06-09,122.37818145751953
2020-06-10,120.68904876708984
2020-06-11,111.26546478271484
2020-06-12,114.08069610595703
2020-06-15,115.65129089355469
2020-06-16,116.99468994140625
2020-06-17,116.2143325805664
2020-06-18,116.92554473876953
2020-06-19,112.95459747314453
2020-06-22,114.50544738769531
2020-06-23,115.1672592163086
2020-06-24,110.70242309570312
2020-06-25,110.00108337402344
2020-06-26,107.7686538696289
2020-06-29,110.15913391113281
2020-06-30,110.14925384521484
2020-07-01,111.6309585571289
2020-07-02,110.81108093261719
2020-07-06,113.03362274169922
2020-07-07,112.24339294433594
2020-07-08,115.23641204833984
2020-07-09,115.38458251953125
2020-07-10,117.88370513916016
2020-07-13,114.8017807006836
2020-07-14,117.2120132446289
2020-07-15,119.42467498779297
2020-07-16,117.97261047363281
2020-07-17,117.2021255493164
2020-07-20,116.35262298583984
2020-07-21,117.17250061035156
2020-07-22,117.57748413085938
2020-07-23,116.67860412597656
2020-07-24,116.17481994628906
2020-07-27,114.89067840576172
2020-07-28,114.76226806640625
2020-07-29,114.19922637939453
2020-07-30,114.24861907958984
2020-07-31,115.51299285888672
2020-08-03,114.93019104003906
2020-08-04,115.85871887207031
2020-08-05,126.05278778076172
2020-08-06,129.22361755371094
2020-08-07,128.344482421875
2020-08-10,127.21837615966797
2020-08-11,128.89764404296875
2020-08-12,130.18179321289062
2020-08-13,129.36192321777344
2020-08-14,128.93716430664062
2020-08-17,127.79131317138672
2020-08-18,127.34680938720703
2020-08-19,126.21083068847656
2020-08-20,126.55655670166016
2020-08-21,125.8848648071289
2020-08-24,129.09521484375
2020-08-25,128.2061767578125
2020-08-26,130.5670166015625
2020-08-27,132.0980987548828
2020-08-28,133.88601684570312
2020-08-31,130.26080322265625
2020-09-01,131.92030334472656
2020-09-02,133.7378387451172
2020-09-03,131.61410522460938
2020-09-04,130.3793487548828
2020-09-08,132.5623779296875
2020-09-09,131.7326202392578
2020-09-10,131.59432983398438
2020-09-11,130.14227294921875
2020-09-14,129.64837646484375
2020-09-15,129.6385040283203
2020-09-16,130.47811889648438
2020-09-17,128.63095092773438
2020-09-18,127.06034088134766
2020-09-21,123.879638671875
2020-09-22,125.65766906738281
2020-09-23,121.77562713623047
2020-09-24,120.9952621459961
2020-09-25,122.4868392944336
2020-09-28,124.45256042480469
2020-09-29,123.86975860595703
2020-09-30,122.56587219238281
2020-10-01,121.80525970458984
2020-10-02,121.0545425415039
2020-10-05,121.86453247070312
2020-10-06,119.45429992675781
2020-10-07,121.41014099121094
2020-10-08,121.58794403076172
2020-10-09,123.45488739013672
2020-10-12,123.44500732421875
2020-10-13,127.38632202148438
2020-10-14,125.04522705078125
2020-10-15,125.80583953857422
2020-10-16,125.2625503540039
2020-10-19,122.71403503417969
2020-10-20,123.42524719238281
2020-10-21,125.0847396850586
2020-10-22,126.0033950805664
2020-10-23,126.78376770019531
2020-10-26,122.54611206054688
2020-10-27,121.80525970458984
2020-10-28,117.02433013916016
2020-10-29,120.05686950683594
2020-10-30,119.77040100097656
2020-11-02,118.6640625
2020-11-03,122.506591796875
2020-11-04,123.54378509521484
2020-11-05,125.41072082519531
2020-11-06,125.90462493896484
2020-11-09,140.8499755859375
2020-11-10,140.3758544921875
2020-11-11,136.13821411132812
2020-11-12,133.8662872314453
2020-11-13,136.67160034179688
2020-11-16,142.9046173095703
2020-11-17,142.7366943359375
2020-11-18,142.1439971923828
2020-11-19,139.99061584472656
2020-11-20,139.34854125976562
2020-11-23,144.19862365722656
2020-11-24,149.6414031982422
2020-11-25,147.2706756591797
2020-11-27,145.3345947265625
2020-11-30,146.20382690429688
2020-12-01,147.61639404296875
2020-12-02,151.7355194091797
2020-12-03,151.37002563476562
2020-12-04,152.25904846191406
2020-12-07,151.8046417236328
2020-12-08,151.84417724609375
2020-12-09,152.54550170898438
2020-12-10,152.8023223876953
2020-12-11,173.57569885253906
2020-12-14,167.2340545654297
2020-12-15,171.8174285888672
2020-12-16,171.00743103027344
2020-12-17,171.43218994140625
2020-12-18,170.78025817871094
2020-12-21,168.6071014404297
2020-12-22,168.37001037597656
2020-12-23,171.43218994140625
2020-12-24,171.61000061035156
2020-12-28,176.67739868164062
2020-12-29,175.13644409179688
2020-12-30,178.95919799804688
2020-12-31,178.96908569335938
2021-01-04,175.51177978515625
2021-01-05,176.26251220703125
2021-01-06,176.9342041015625
2021-01-07,176.4008026123047
2021-01-08,176.50946044921875
2021-01-11,176.9045867919922
2021-01-12,173.84242248535156
2021-01-13,173.9708251953125
2021-01-14,171.3136444091797
2021-01-15,169.34793090820312
2021-01-19,170.15792846679688
2021-01-20,171.52108764648438
2021-01-21,169.1898956298828
2021-01-22,170.6715850830078
